canonical_sku,attribute_key,value,source_sku,confidence
BR-7B2-0052400,"material","stainless",BR-7B2-0052400,0.820
BR-7B2-0052400,size,"5in",BR-7B2-0052400,0.820
BR-7B2-0082496,"finish","stainless",BR-7B2-0082496,0.820
BR-7B2-0082496,"material","stainless",BR-7B2-0082496,0.820
BR-7B2-0082496,size,"8in",BR-7B2-0082496,0.820
BR-963,"finish",white,BR-963,0.790
BR-963,"material",HDPE,BR-963,0.790
BR-963,"mounting","surface",BR-963,0.790
BR-9933,"finish","stainless",BR-9933,0.790
BR-9933,"material","stainless",BR-9933,0.790
BR-9934,"finish","stainless",BR-9934,0.790
BR-9934,"material","stainless",BR-9934,0.790
BR-9953,"finish","stainless",BR-9953,0.790
BR-9953,"material","stainless",BR-9953,0.790
BR-9953,"mounting","surface",BR-9953,0.790
BR-9954,"finish","stainless",BR-9954,0.790
BR-9954,"material","stainless",BR-9954,0.790
BR-9954,"mounting","surface",BR-9954,0.790
BR-9955,"finish","stainless",BR-9955,0.790
BR-9955,"material","stainless",BR-9955,0.790
BR-9955,"mounting","surface",BR-9955,0.790
BR-9983,"finish","stainless",BR-9983,0.790
BR-9983,"material","stainless",BR-9983,0.790
BR-9B1-110000,"finish","stainless",BR-9B1-110000,0.790
BR-9B1-110000,"material","stainless",BR-9B1-110000,0.790
BR-9B1-110200,"finish","stainless",BR-9B1-110200,0.790
BR-9B1-110200,"material","stainless",BR-9B1-110200,0.790
BR-ELX-2,"mounting","surface",BR-ELX-2,0.740
CLARIDGE-CALYX-GLASS-46,size,4x6,CLARIDGE-CALYX-GLASS-46,0.770
CLARIDGE-GLASS-48,size,4x8,CLARIDGE-GLASS-48,0.770
CLARIDGE-LCS-ELITE-46,"mounting","surface",CLARIDGE-LCS-ELITE-46,0.820
CLARIDGE-LCS-ELITE-46,size,4x6,CLARIDGE-LCS-ELITE-46,0.820
CLARIDGE-LCS-ELITE-48,"mounting","surface",CLARIDGE-LCS-ELITE-48,0.820
CLARIDGE-LCS-ELITE-48,size,4x8,CLARIDGE-LCS-ELITE-48,0.820
CLARIDGE-MGMI-46,"finish",white,CLARIDGE-MGMI-46,0.740
CS-ACRO-CG,"mounting","surface",CS-ACRO-CG,0.740
CS-ACRO-CHAIRRAIL,"mounting","surface",CS-ACRO-CHAIRRAIL,0.740
CS-ACRO-SHEET-040,size,"040in",CS-ACRO-SHEET-040,0.770
CS-ACRO-SHEET-060,size,"060in",CS-ACRO-SHEET-060,0.770
CS-CO8-4,"finish","stainless",CS-CO8-4,0.790
CS-CO8-4,"material","stainless",CS-CO8-4,0.790
CS-CO8-4,"mounting","surface",CS-CO8-4,0.790
CS-CO8-8,"finish","stainless",CS-CO8-8,0.790
CS-CO8-8,"material","stainless",CS-CO8-8,0.790
CS-CO8-8,"mounting","surface",CS-CO8-8,0.790
CS-PEDIGRID-SF,"mounting","recessed",CS-PEDIGRID-SF,0.740
DALITE-73241,size,"120in",DALITE-73241,0.770
DALITE-85324,size,"106in",DALITE-85324,0.850
EDER-45-AL-BRKT,size,"2in",EDER-45-AL-BRKT,0.850
EDER-CLEAT-6-ALUM,size,"6in",EDER-CLEAT-6-ALUM,0.770
EDER-CLEAT-9-ALUM,size,"9in",EDER-CLEAT-9-ALUM,0.770
EDER-GOLD-BALL-4,size,"4in",EDER-GOLD-BALL-4,0.770
EDER-GOLD-BALL-6,size,"6in",EDER-GOLD-BALL-6,0.770
EDER-TH20,size,3x5,EDER-TH20,0.770
FDC-SIGN,"compliance","fire",FDC-SIGN,0.740
FE-DECAL-CABINET,"compliance","fire",FE-DECAL-CABINET,0.740
FE-HOOK-WALL,"compliance","fire",FE-HOOK-WALL,0.740
FE-TAG-ANNUAL,"compliance","fire",FE-TAG-ANNUAL,0.740
FEC-BREAK-GLASS,"compliance","fire",FEC-BREAK-GLASS,0.740
FEC-GLAZING-ACRYLIC,"compliance","fire",FEC-GLAZING-ACRYLIC,0.740
FEC-TRIM-RETURN,"compliance","fire",FEC-TRIM-RETURN,0.790
FEC-TRIM-RETURN,"mounting","recessed",FEC-TRIM-RETURN,0.790
FIRE-BLANKET-CAB,"compliance","fire",FIRE-BLANKET-CAB,0.740
FIRE-RISER-SIGN,"compliance","fire",FIRE-RISER-SIGN,0.740
FL-H91516,"finish",black,FL-H91516,0.740
FT-REC,"finish","stainless",FT-REC,0.790
FT-REC,"material","stainless",FT-REC,0.790
FT-REC,"mounting","recessed",FT-REC,0.790
GHENT-A2M412-M,size,"1in",GHENT-A2M412-M,0.770
GHENT-A2M48-M,size,"1in",GHENT-A2M48-M,0.770
GHENT-HOLDUP-48,size,"48in",GHENT-HOLDUP-48,0.770
GHENT-HOLDUP-96,size,"96in",GHENT-HOLDUP-96,0.770
GHENT-MAPRAIL-1IN-LF,size,"1in",GHENT-MAPRAIL-1IN-LF,0.770
GHENT-MAPRAIL-2IN-LF,size,"2in",GHENT-MAPRAIL-2IN-LF,0.770
GHENT-MAPRAIL-ENDSTOP,size,"1in",GHENT-MAPRAIL-ENDSTOP,0.770
GHENT-MOBILE-M4-46,size,4x6,GHENT-MOBILE-M4-46,0.770
GLOBAL-9X5X13-ASH,"finish","stainless",GLOBAL-9X5X13-ASH,0.900
GLOBAL-9X5X13-ASH,"material","stainless",GLOBAL-9X5X13-ASH,0.900
GLOBAL-9X5X13-ASH,size,"9in",GLOBAL-9X5X13-ASH,0.900
GLOBAL-STONE-URN-24GAL,"compliance","fire",GLOBAL-STONE-URN-24GAL,0.740
IDEAL-6IN-COVER,size,"6in",IDEAL-6IN-COVER,0.770
IDEAL-6IN-REM-GALV,size,"6in",IDEAL-6IN-REM-GALV,0.770
IDEAL-METRO-6IN-COVER,size,"6in",IDEAL-METRO-6IN-COVER,0.770
INPRO-CG-160,"mounting","surface",INPRO-CG-160,0.740
INPRO-CR-4,size,"4in",INPRO-CR-4,0.770
INPRO-SHEET-040,"mounting","surface",INPRO-SHEET-040,0.820
INPRO-SHEET-040,size,"040in",INPRO-SHEET-040,0.820
IVES-8302-4X16-630,"finish","stainless",IVES-8302-4X16-630,0.820
IVES-8302-4X16-630,"material","stainless",IVES-8302-4X16-630,0.820
IVES-8302-4X16-630,size,4x16,IVES-8302-4X16-630,0.820
IVES-8303-4X16-630,"finish","stainless",IVES-8303-4X16-630,0.820
IVES-8303-4X16-630,"material","stainless",IVES-8303-4X16-630,0.820
IVES-8303-4X16-630,size,4x16,IVES-8303-4X16-630,0.820
IVES-8400-10X34-630,"finish","stainless",IVES-8400-10X34-630,0.820
IVES-8400-10X34-630,"material","stainless",IVES-8400-10X34-630,0.820
IVES-8400-10X34-630,size,10x34,IVES-8400-10X34-630,0.820
IVES-8400-34X34-630,"finish","stainless",IVES-8400-34X34-630,0.820
IVES-8400-34X34-630,"material","stainless",IVES-8400-34X34-630,0.820
IVES-8400-34X34-630,size,34x34,IVES-8400-34X34-630,0.820
IVES-8400-6X34-630,"finish","stainless",IVES-8400-6X34-630,0.820
IVES-8400-6X34-630,"material","stainless",IVES-8400-6X34-630,0.820
IVES-8400-6X34-630,size,6x34,IVES-8400-6X34-630,0.820
IVES-8400-8X34-630,"finish","stainless",IVES-8400-8X34-630,0.820
IVES-8400-8X34-630,"material","stainless",IVES-8400-8X34-630,0.820
IVES-8400-8X34-630,size,8x34,IVES-8400-8X34-630,0.820
IVES-8400-PBLK-10X34,"finish",black,IVES-8400-PBLK-10X34,0.820
IVES-8400-PBLK-10X34,size,10x34,IVES-8400-PBLK-10X34,0.820
IVES-8402-10X34-630,"compliance","fire",IVES-8402-10X34-630,0.820
IVES-8402-10X34-630,"finish","stainless",IVES-8402-10X34-630,0.820
IVES-8402-10X34-630,"material","stainless",IVES-8402-10X34-630,0.820
IVES-8402-10X34-630,size,10x34,IVES-8402-10X34-630,0.820
JL-1013G10,"compliance","fire",JL-1013G10,0.870
JL-1013G10,"finish",white,JL-1013G10,0.790
JL-1013G10,"mounting","surface",JL-1013G10,0.870
JL-1015F10,"compliance","fire",JL-1015F10,0.740
JL-1017F10FX,"compliance","fire",JL-1017F10FX,0.790
JL-1017F10FX,"mounting","recessed",JL-1017F10FX,0.790
JL-1413F12,"mounting","recessed",JL-1413F12,0.740
JUSTRITE-SCF,"compliance","fire",JUSTRITE-SCF,0.820
KARP-DSC214M-1212,size,"12in",KARP-DSC214M-1212,0.770
KARP-DSC214M-2424,size,"24in",KARP-DSC214M-2424,0.770
KARP-FR-2424,"compliance","fire",KARP-FR-2424,0.820
KARP-FR-2424,size,"24in",KARP-FR-2424,0.820
KNOX-3200-REC-DB,"mounting","recessed",KNOX-3200-REC-DB,0.740
KNOX-3200-SM-BLK,"finish",black,KNOX-3200-SM-BLK,0.790
KNOX-3200-SM-BLK,"mounting","surface",KNOX-3200-SM-BLK,0.790
KOALA-KB300-MB,"finish",matte_black,KOALA-KB300-MB,0.790
KOALA-KB300-MB,"mounting","surface",KOALA-KB300-MB,0.790
LAR-2409-6R,"compliance","fire",LAR-2409-6R,0.820
LAR-2409-6R,"mounting","recessed",LAR-2409-6R,0.820
LAR-2409-6R,size,"5in",LAR-2409-6R,0.820
LAR-2409-R2,"compliance","fire",LAR-2409-R2,0.790
LAR-2409-R2,"finish",white,LAR-2409-R2,0.790
LAR-2409-R2,"mounting","recessed",LAR-2409-R2,0.790
LAR-2409-R4,"compliance","fire",LAR-2409-R4,0.790
LAR-2409-R4,"finish",white,LAR-2409-R4,0.790
LAR-2409-R4,"mounting","recessed",LAR-2409-R4,0.790
LAR-2409-R7,"compliance","fire",LAR-2409-R7,0.820
LAR-2409-R7,"finish",white,LAR-2409-R7,0.820
LAR-2409-R7,"mounting","recessed",LAR-2409-R7,0.820
LAR-2409-R7,size,"2in",LAR-2409-R7,0.820
LAR-2409-SM,"compliance","fire",LAR-2409-SM,0.790
LAR-2409-SM,"finish",white,LAR-2409-SM,0.790
LAR-2409-SM,"mounting","surface",LAR-2409-SM,0.790
LAR-FSDEC-SS-2409-R4,"compliance","fire",LAR-FSDEC-SS-2409-R4,0.820
LAR-FSDEC-SS-2409-R4,"finish","stainless",LAR-FSDEC-SS-2409-R4,0.820
LAR-FSDEC-SS-2409-R4,"material","stainless",LAR-FSDEC-SS-2409-R4,0.820
LAR-FSDEC-SS-2409-R4,"mounting","recessed",LAR-FSDEC-SS-2409-R4,0.820
LAR-FSDEC-SS-2409-R4,size,"5in",LAR-FSDEC-SS-2409-R4,0.820
MADRAX-U24-QS,"mounting","surface",MADRAX-U24-QS,0.740
MAIL-SLOT-SS,"finish","stainless",MAIL-SLOT-SS,0.790
MAIL-SLOT-SS,"material","stainless",MAIL-SLOT-SS,0.790
MAILBOX-4C-ALLOW,"mounting","recessed",MAILBOX-4C-ALLOW,0.740
MASTERLOCK-1710ADA,"compliance",ADA,MASTERLOCK-1710ADA,0.740
MASTERLOCK-1714ADA,"compliance",ADA,MASTERLOCK-1714ADA,0.740
MAT-TEMPLATE-FIELD,"mounting","recessed",MAT-TEMPLATE-FIELD,0.740
MATS-PERFEC-CLEAN-38-AL-SF,"mounting","recessed",MATS-PERFEC-CLEAN-38-AL-SF,0.820
MATS-PERFEC-CLEAN-38-AL-SF,size,"8in",MATS-PERFEC-CLEAN-38-AL-SF,0.820
MATS-PERFEC-CLEAN-RUBBER-SF,"mounting","recessed",MATS-PERFEC-CLEAN-RUBBER-SF,0.740
MATS-RECESSED-GRATE-SF,"mounting","recessed",MATS-RECESSED-GRATE-SF,0.740
MC-REC,"mounting","recessed",MC-REC,0.740
OSC-ADA-ACCESSIBLE-ISA,"compliance",ADA,OSC-ADA-ACCESSIBLE-ISA,0.740
OSC-ADA-CUSTODIAL,"compliance",ADA,OSC-ADA-CUSTODIAL,0.740
OSC-ADA-ELEC,"compliance",ADA,OSC-ADA-ELEC,0.740
OSC-ADA-EXIT,"compliance",ADA,OSC-ADA-EXIT,0.740
OSC-ADA-FIRE-RISER,"compliance","ADA|fire",OSC-ADA-FIRE-RISER,0.740
OSC-ADA-MECH,"compliance",ADA,OSC-ADA-MECH,0.740
OSC-ADA-OFFICE,"compliance",ADA,OSC-ADA-OFFICE,0.740
OSC-ADA-RESTROOM-GN,"compliance",ADA,OSC-ADA-RESTROOM-GN,0.740
OSC-ADA-RESTROOM-MEN,"compliance",ADA,OSC-ADA-RESTROOM-MEN,0.740
OSC-ADA-RESTROOM-UNISEX,"compliance",ADA,OSC-ADA-RESTROOM-UNISEX,0.740
OSC-ADA-RESTROOM-WOMEN,"compliance",ADA,OSC-ADA-RESTROOM-WOMEN,0.740
OSC-ADA-ROOM-ID,"compliance",ADA,OSC-ADA-ROOM-ID,0.740
OSC-ADA-ROOM-NUM,"compliance",ADA,OSC-ADA-ROOM-NUM,0.740
OSC-ADA-STAIR,"compliance",ADA,OSC-ADA-STAIR,0.740
OSC-ADA-STAIR-DOWN,"compliance",ADA,OSC-ADA-STAIR-DOWN,0.740
OSC-ADA-STAIR-UP,"compliance",ADA,OSC-ADA-STAIR-UP,0.740
OSC-FE-3D,"compliance","fire",OSC-FE-3D,0.740
OSC-FE-DECAL,"compliance","fire",OSC-FE-DECAL,0.740
PEN-GUARD-1T,"mounting","recessed",PEN-GUARD-1T,0.740
PEN-GUARD-2T,"mounting","recessed",PEN-GUARD-2T,0.740
PEN-VAN-1T-121272,size,"12in",PEN-VAN-1T-121272,0.770
PEN-VAN-2T-121272,size,"12in",PEN-VAN-2T-121272,0.770
PEN-VAN-Z-121572,size,"12in",PEN-VAN-Z-121572,0.770
PEN-ZEE-BASE-4,size,"4in",PEN-ZEE-BASE-4,0.770
PEN-ZEE-BASE-SPLICE-END,size,"4in",PEN-ZEE-BASE-SPLICE-END,0.770
PR-FVC,"compliance","fire",PR-FVC,0.740
PR-FVEC,"compliance","fire",PR-FVEC,0.790
PR-FVEC,"mounting","recessed",PR-FVEC,0.790
PURELL-ES8,"mounting","surface",PURELL-ES8,0.740
RCP-270388BK,"finish",black,RCP-270388BK,0.740
RCP-354007BK,"finish",black,RCP-354007BK,0.740
RELIANCE-R7901,size,"36in",RELIANCE-R7901,0.770
RELIANCE-R8464,"finish","stainless",RELIANCE-R8464,0.820
RELIANCE-R8464,"material","stainless",RELIANCE-R8464,0.820
RELIANCE-R8464,size,"2in",RELIANCE-R8464,0.820
ROCK-306B-42-630,"finish","stainless",ROCK-306B-42-630,0.870
ROCK-306B-42-630,"material","stainless",ROCK-306B-42-630,0.870
ROCK-310B-42-630,"finish","stainless",ROCK-310B-42-630,0.790
ROCK-310B-42-630,"material","stainless",ROCK-310B-42-630,0.790
ROCK-FRAME-GUARD-630,"finish","stainless",ROCK-FRAME-GUARD-630,0.790
ROCK-FRAME-GUARD-630,"material","stainless",ROCK-FRAME-GUARD-630,0.790
ROCK-K1050-10X34-630,"finish","stainless",ROCK-K1050-10X34-630,0.900
ROCK-K1050-10X34-630,"material","stainless",ROCK-K1050-10X34-630,0.900
ROCK-K1050-10X34-630,size,10x34,ROCK-K1050-10X34-630,0.900
ROCK-K1050-10X34-630,size,12x34,ROCK-K1050-12X34-630,0.900
ROCK-K1050-16X34-630,"finish","stainless",ROCK-K1050-16X34-630,0.820
ROCK-K1050-16X34-630,"material","stainless",ROCK-K1050-16X34-630,0.820
ROCK-K1050-16X34-630,size,16x34,ROCK-K1050-16X34-630,0.820
ROCK-K1050-34X34-630,"finish","stainless",ROCK-K1050-34X34-630,0.820
ROCK-K1050-34X34-630,"material","stainless",ROCK-K1050-34X34-630,0.820
ROCK-K1050-34X34-630,size,34x34,ROCK-K1050-34X34-630,0.820
ROCK-K1050-6X34-630,"finish","stainless",ROCK-K1050-6X34-630,0.820
ROCK-K1050-6X34-630,"material","stainless",ROCK-K1050-6X34-630,0.820
ROCK-K1050-6X34-630,size,6x34,ROCK-K1050-6X34-630,0.820
ROCK-K1050-8X34-630,"finish","stainless",ROCK-K1050-8X34-630,0.820
ROCK-K1050-8X34-630,"material","stainless",ROCK-K1050-8X34-630,0.820
ROCK-K1050-8X34-630,size,8x34,ROCK-K1050-8X34-630,0.820
ROCK-PULL-107X70C-630,"finish","stainless",ROCK-PULL-107X70C-630,0.790
ROCK-PULL-107X70C-630,"material","stainless",ROCK-PULL-107X70C-630,0.790
ROCK-PUSH-70A-4X16-630,"finish","stainless",ROCK-PUSH-70A-4X16-630,0.820
ROCK-PUSH-70A-4X16-630,"material","stainless",ROCK-PUSH-70A-4X16-630,0.820
ROCK-PUSH-70A-4X16-630,size,4x16,ROCK-PUSH-70A-4X16-630,0.820
ROCKWOOD-K1050,"finish","stainless",ROCKWOOD-K1050,0.820
ROCKWOOD-K1050,"material","stainless",ROCKWOOD-K1050,0.820
ROCKWOOD-K1050,size,"8in",ROCKWOOD-K1050,0.820
RONICK-BM300-SF,"mounting","recessed",RONICK-BM300-SF,0.740
SA70-001180,"finish","stainless",SA70-001180,0.790
SA70-001180,"material","stainless",SA70-001180,0.790
SA70-001240,"finish","stainless",SA70-001240,0.790
SA70-001240,"material","stainless",SA70-001240,0.790
SA70-001300,"finish","stainless",SA70-001300,0.790
SA70-001300,"material","stainless",SA70-001300,0.790
SA70-001360,"finish","stainless",SA70-001360,0.790
SA70-001360,"material","stainless",SA70-001360,0.790
SA70-001420,"finish","stainless",SA70-001420,0.790
SA70-001420,"material","stainless",SA70-001420,0.790
SA70-001480,"finish","stainless",SA70-001480,0.790
SA70-001480,"material","stainless",SA70-001480,0.790
SAL-3506,"mounting","surface",SAL-3506,0.740
SAL-3755P-BLK,"finish",black,SAL-3755P-BLK,0.740
SAL-4550S,"finish","stainless",SAL-4550S,0.790
SAL-4550S,"material","stainless",SAL-4550S,0.790
SCR-BENCH-HDPE-06,"material",HDPE,SCR-BENCH-HDPE-06,0.740
SCR-BRKT-HDPE,"material",HDPE,SCR-BRKT-HDPE,0.740
SCR-ECL-FTC,"material",HDPE,SCR-ECL-FTC,0.740
SCR-ECL-OH-HIGH,"material",HDPE,SCR-ECL-OH-HIGH,0.790
SCR-ECL-OH-HIGH,"mounting","overhead_braced",SCR-ECL-OH-HIGH,0.790
SCR-ECL-OH-STD,"material",HDPE,SCR-ECL-OH-STD,0.870
SCR-ECL-OH-STD,"mounting","overhead_braced",SCR-ECL-OH-STD,0.870
SCR-HEADRAIL-LF,"material",HDPE,SCR-HEADRAIL-LF,0.740
SCR-HH-OH,"material",HDPE,SCR-HH-OH,0.790
SCR-HH-OH,"mounting","overhead_braced",SCR-HH-OH,0.790
SCR-HLSLA,"material",HDPE,SCR-HLSLA,0.740
SCR-TUFF-1T,"material",HDPE,SCR-TUFF-1T,0.740
SCR-TUFF-2T,"material",HDPE,SCR-TUFF-2T,0.740
SCR-TUFF-3T,"material",HDPE,SCR-TUFF-3T,0.740
SCR-TUFF-ATH,"material",HDPE,SCR-TUFF-ATH,0.740
SCR-TUFF-BASE-4,"finish",black,SCR-TUFF-BASE-4,0.820
SCR-TUFF-BASE-4,"material",HDPE,SCR-TUFF-BASE-4,0.820
SCR-TUFF-BASE-4,size,"4in",SCR-TUFF-BASE-4,0.820
SCR-TUFF-BENCH,"material",HDPE,SCR-TUFF-BENCH,0.740
SCR-TUFF-FILLER-72,"material",HDPE,SCR-TUFF-FILLER-72,0.820
SCR-TUFF-FILLER-72,size,"72in",SCR-TUFF-FILLER-72,0.820
SCR-TUFF-HANDLE-ADA,"compliance",ADA,SCR-TUFF-HANDLE-ADA,0.790
SCR-TUFF-HANDLE-ADA,"material",HDPE,SCR-TUFF-HANDLE-ADA,0.790
SCR-US-HDPE,"material",HDPE,SCR-US-HDPE,0.740
SETON-76866-FE,"compliance","fire",SETON-76866-FE,0.900
SETON-76866-FE,size,"12in",SETON-76866-FE,0.900
SETON-FE-DECAL,"compliance","fire",SETON-FE-DECAL,0.740
SF-HDVB-1,"compliance","fire",SF-HDVB-1,0.740
SF-HDVB-2,"compliance","fire",SF-HDVB-2,0.740
SF-HDVB-3,"compliance","fire",SF-HDVB-3,0.740
SF-UB5,"compliance","fire",SF-UB5,0.740
SF-UP10-MD,"compliance","fire",SF-UP10-MD,0.740
SH-SEAT-PHEN,"material","phenolic",SH-SEAT-PHEN,0.740
TRIMCO-K0050-10X34-630,"finish","stainless",TRIMCO-K0050-10X34-630,0.820
TRIMCO-K0050-10X34-630,"material","stainless",TRIMCO-K0050-10X34-630,0.820
TRIMCO-K0050-10X34-630,size,10x34,TRIMCO-K0050-10X34-630,0.820
TRIMCO-K0050-8X34-630,"finish","stainless",TRIMCO-K0050-8X34-630,0.820
TRIMCO-K0050-8X34-630,"material","stainless",TRIMCO-K0050-8X34-630,0.820
TRIMCO-K0050-8X34-630,size,8x34,TRIMCO-K0050-8X34-630,0.820
TRIMCO-KA050-34X34-630,"finish","stainless",TRIMCO-KA050-34X34-630,0.820
TRIMCO-KA050-34X34-630,"material","stainless",TRIMCO-KA050-34X34-630,0.820
TRIMCO-KA050-34X34-630,size,34x34,TRIMCO-KA050-34X34-630,0.820
TRIMCO-KE31-1-630,"finish","stainless",TRIMCO-KE31-1-630,0.790
TRIMCO-KE31-1-630,"material","stainless",TRIMCO-KE31-1-630,0.790
TRIMCO-KE33-1-630,"finish","stainless",TRIMCO-KE33-1-630,0.790
TRIMCO-KE33-1-630,"material","stainless",TRIMCO-KE33-1-630,0.790
TRIMCO-KM050-6X34-630,"finish","stainless",TRIMCO-KM050-6X34-630,0.820
TRIMCO-KM050-6X34-630,"material","stainless",TRIMCO-KM050-6X34-630,0.820
TRIMCO-KM050-6X34-630,size,6x34,TRIMCO-KM050-6X34-630,0.820
TRIMCO-KS050-16X34-630,"finish","stainless",TRIMCO-KS050-16X34-630,0.820
TRIMCO-KS050-16X34-630,"material","stainless",TRIMCO-KS050-16X34-630,0.820
TRIMCO-KS050-16X34-630,size,16x34,TRIMCO-KS050-16X34-630,0.820
ULINE-H-1667-SF,"mounting","surface",ULINE-H-1667-SF,0.740
ULINE-H-2357-SF,"mounting","surface",ULINE-H-2357-SF,0.740
ULINE-H-5467,"finish","stainless",ULINE-H-5467,0.790
ULINE-H-5467,"material","stainless",ULINE-H-5467,0.790
ULINE-H-6814,"finish","stainless",ULINE-H-6814,0.790
ULINE-H-6814,"material","stainless",ULINE-H-6814,0.790
ULINE-H-6840,"finish","stainless",ULINE-H-6840,0.790
ULINE-H-6840,"material","stainless",ULINE-H-6840,0.790
ULINE-S-12415,size,4x50,ULINE-S-12415,0.770
ULTRASITE-AUGUSTA-36ASH,"finish",black,ULTRASITE-AUGUSTA-36ASH,0.740
XL-SB,"finish","stainless",XL-SB,0.790
XL-SB,"material","stainless",XL-SB,0.790
XL-SB,"mounting","surface",XL-SB,0.790
XL-SB-REC-KIT,"mounting","recessed",XL-SB-REC-KIT,0.740
