id,sku,category,manufacturer,uom,base_material_cost,base_labor_minutes,active,install_labor_family,violation_flags
mail-coll-fs,MAIL-COLL-FS,Postal Specialties,Generic,EA,725,45,1,,missing_install_labor_family;
mail-coll-wm,MAIL-COLL-WM,Postal Specialties,Generic,EA,450,60,1,,missing_install_labor_family;
mail-dir,MAIL-DIR,Postal Specialties,Generic,EA,125,20,1,,missing_install_labor_family;
mail-key,MAIL-KEY,Postal Specialties,Generic,EA,15,15,1,,missing_install_labor_family;
mail-keykeeper,MAIL-KEYKEEPER,Postal Specialties,Generic,EA,185,30,1,,missing_install_labor_family;
mail-repair-hdw,MAIL-REPAIR-HDW,Postal Specialties,Generic,EA,75,45,1,,missing_install_labor_family;
mail-slot-brass,MAIL-SLOT-BRASS,Postal Specialties,Generic,EA,95,25,1,,missing_install_labor_family;
mail-slot-ss,MAIL-SLOT-SS,Postal Specialties,Generic,EA,95,25,1,,missing_install_labor_family;
mail-tenant-label,MAIL-TENANT-LABEL,Postal Specialties,Generic,EA,5,3,1,,missing_install_labor_family;
mailbox-4c-allow,MAILBOX-4C-ALLOW,Postal Specialties,Generic,EA,1850,180,1,,missing_install_labor_family;
masterlock-1630,MASTERLOCK-1630,Lockers,Master Lock,EA,22,10,1,,missing_install_labor_family;
mat-template-field,MAT-TEMPLATE-FIELD,Entrance Mats,Allowance,EA,125,45,1,,missing_install_labor_family;
mail-usps-coord,MAIL-USPS-COORD,Postal Specialties,Allowance,EA,150,60,1,,missing_install_labor_family;
mat-well-prep,MAT-WELL-PREP,Entrance Mats,Allowance,EA,75,30,1,,missing_install_labor_family;
mats-logo-mat-sf,MATS-LOGO-MAT-SF,Entrance Mats,Mats Inc.,SF,35,4,1,,missing_install_labor_family;
mats-perfec-clean-38-al-sf,MATS-PERFEC-CLEAN-38-AL-SF,Entrance Mats,Mats Inc.,SF,48,7,1,,missing_install_labor_family;
mats-perfec-clean-rubber-sf,MATS-PERFEC-CLEAN-RUBBER-SF,Entrance Mats,Mats Inc.,SF,42,7,1,,missing_install_labor_family;
mats-recessed-grate-sf,MATS-RECESSED-GRATE-SF,Entrance Mats,Mats Inc.,SF,75,10,1,,missing_install_labor_family;
mats-walkoff-runner-sf,MATS-WALKOFF-RUNNER-SF,Entrance Mats,Mats Inc.,SF,18,3,1,,missing_install_labor_family;
notrax-109-sf,NOTRAX-109-SF,Entrance Mats,NoTrax,SF,14,3,1,,missing_install_labor_family;
osc-ada-accessible-isa,OSC-ADA-ACCESSIBLE-ISA,Signage,Office Sign Company,EA,55,10,1,,missing_install_labor_family;
osc-ada-custodial,OSC-ADA-CUSTODIAL,Signage,Office Sign Company,EA,45,10,1,,missing_install_labor_family;
osc-ada-elec,OSC-ADA-ELEC,Signage,Office Sign Company,EA,45,10,1,,missing_install_labor_family;
osc-ada-exit,OSC-ADA-EXIT,Signage,Office Sign Company,EA,45,10,1,,missing_install_labor_family;
osc-ada-fire-riser,OSC-ADA-FIRE-RISER,Signage,Office Sign Company,EA,48,10,1,,missing_install_labor_family;
osc-ada-mech,OSC-ADA-MECH,Signage,Office Sign Company,EA,45,10,1,,missing_install_labor_family;
osc-ada-office,OSC-ADA-OFFICE,Signage,Office Sign Company,EA,45,10,1,,missing_install_labor_family;
osc-ada-restroom-gn,OSC-ADA-RESTROOM-GN,Signage,Office Sign Company,EA,84.95,10,1,,missing_install_labor_family;
osc-ada-restroom-men,OSC-ADA-RESTROOM-MEN,Signage,Office Sign Company,EA,55,10,1,,missing_install_labor_family;
asi-7340,ASI-7340,Toilet Accessories,American Specialties Inc.,EA,18,10,1,,missing_install_labor_family;
osc-ada-restroom-unisex,OSC-ADA-RESTROOM-UNISEX,Signage,Office Sign Company,EA,55,10,1,,missing_install_labor_family;
osc-ada-restroom-women,OSC-ADA-RESTROOM-WOMEN,Signage,Office Sign Company,EA,55,10,1,,missing_install_labor_family;
osc-ada-room-id,OSC-ADA-ROOM-ID,Signage,Office Sign Company,EA,45,10,1,,missing_install_labor_family;
osc-ada-room-num,OSC-ADA-ROOM-NUM,Signage,Office Sign Company,EA,45,10,1,,missing_install_labor_family;
osc-ada-stair,OSC-ADA-STAIR,Signage,Office Sign Company,EA,35,10,1,,missing_install_labor_family;
osc-ada-stair-down,OSC-ADA-STAIR-DOWN,Signage,Office Sign Company,EA,35,10,1,,missing_install_labor_family;
osc-ada-stair-up,OSC-ADA-STAIR-UP,Signage,Office Sign Company,EA,35,10,1,,missing_install_labor_family;
osc-aed-3d,OSC-AED-3D,Signage,Office Sign Company,EA,35,10,1,,missing_install_labor_family;
osc-aed-sign,OSC-AED-SIGN,Signage,Office Sign Company,EA,35,10,1,,missing_install_labor_family;
osc-dir-wall,OSC-DIR-WALL,Signage,Office Sign Company,EA,125,30,1,,missing_install_labor_family;
osc-fe-3d,OSC-FE-3D,Signage,Office Sign Company,EA,35,10,1,,missing_install_labor_family;
osc-fe-decal,OSC-FE-DECAL,Signage,Office Sign Company,EA,18,8,1,,missing_install_labor_family;
osc-max-occ,OSC-MAX-OCC,Signage,Office Sign Company,EA,35,10,1,,missing_install_labor_family;
osc-no-smoking,OSC-NO-SMOKING,Signage,Office Sign Company,EA,18,8,1,,missing_install_labor_family;
parts-hr-alum-lf,PARTS-HR-ALUM-LF,Partitions,RBA / Partitions and Stalls,LF,18,8,1,,missing_install_labor_family;
parts-hr-endcap,PARTS-HR-ENDCAP,Partitions,RBA / Partitions and Stalls,EA,12,8,1,,missing_install_labor_family;
parts-priv-strip-lf,PARTS-PRIV-STRIP-LF,Partitions,Partition Plus,LF,12,6,1,,missing_install_labor_family;
8320-001360,8320-001360,Toilet Accessories,Bradley,EA,38.89,30,1,,missing_install_labor_family;
pen-guard-1t,PEN-GUARD-1T,Lockers,Penco,EA,315,55,1,,missing_install_labor_family;
pen-guard-2t,PEN-GUARD-2T,Lockers,Penco,EA,375,65,1,,missing_install_labor_family;
asi-7345,ASI-7345,Toilet Accessories,American Specialties Inc.,EA,28,10,1,,missing_install_labor_family;
pen-van-1t-121272,PEN-VAN-1T-121272,Lockers,Penco,EA,185,45,1,,missing_install_labor_family;
pen-van-2t-121272,PEN-VAN-2T-121272,Lockers,Penco,EA,215,55,1,,missing_install_labor_family;
pen-van-z-121572,PEN-VAN-Z-121572,Lockers,Penco,EA,365,80,1,,missing_install_labor_family;
pen-weld-1t,PEN-WELD-1T,Lockers,Penco,EA,395,40,1,,missing_install_labor_family;
rcp-263200gy,RCP-263200GY,Waste & Recycling Receptacles,Rubbermaid Commercial,EA,22,5,1,,missing_install_labor_family;
rcp-264360gy,RCP-264360GY,Waste & Recycling Receptacles,Rubbermaid Commercial,EA,75,5,1,,missing_install_labor_family;
rcp-270388bk,RCP-270388BK,Waste & Recycling Receptacles,Rubbermaid Commercial,EA,32,5,1,,missing_install_labor_family;
rcp-270388blue,RCP-270388BLUE,Waste & Recycling Receptacles,Rubbermaid Commercial,EA,32,5,1,,missing_install_labor_family;
pr-fvc,PR-FVC,Fire Specialties,Potter Roemer,EA,425,90,1,,missing_install_labor_family;
pr-fvec,PR-FVEC,Fire Specialties,Potter Roemer,EA,620,120,1,,missing_install_labor_family;
pen-slotless-bolt-nut,PEN-SLOTLESS-BOLT-NUT,Lockers,Penco,EA,0.75,3,1,,missing_install_labor_family;
pen-tab-shelf,PEN-TAB-SHELF,Lockers,Penco,EA,35,20,1,,missing_install_labor_family;
pen-touchup-paint,PEN-TOUCHUP-PAINT,Lockers,Penco,EA,12,5,1,,missing_install_labor_family;
rcp-354007bk,RCP-354007BK,Waste & Recycling Receptacles,Rubbermaid Commercial,EA,54,5,1,,missing_install_labor_family;
rcp-354007blue,RCP-354007BLUE,Waste & Recycling Receptacles,Rubbermaid Commercial,EA,54,5,1,,missing_install_labor_family;
rcp-354060gy,RCP-354060GY,Waste & Recycling Receptacles,Rubbermaid Commercial,EA,79,5,1,,missing_install_labor_family;
rcp-354100gy,RCP-354100GY,Waste & Recycling Receptacles,Rubbermaid Commercial,EA,55,5,1,,missing_install_labor_family;
reliance-r7901,RELIANCE-R7901,Bollards,Reliance Foundry,EA,346,120,1,,missing_install_labor_family;
reliance-r7902,RELIANCE-R7902,Bollards,Reliance Foundry,EA,305,120,1,,missing_install_labor_family;
reliance-r8464,RELIANCE-R8464,Bollards,Reliance Foundry,EA,691,135,1,,missing_install_labor_family;
rock-306b-42-630,ROCK-306B-42-630,Wall Protection,Rockwood,EA,145,35,1,,missing_install_labor_family;
rock-306b-84-630,ROCK-306B-84-630,Wall Protection,Rockwood,EA,225,45,1,,missing_install_labor_family;
rock-310b-42-630,ROCK-310B-42-630,Wall Protection,Rockwood,EA,165,40,1,,missing_install_labor_family;
rock-frame-guard-630,ROCK-FRAME-GUARD-630,Wall Protection,Rockwood,EA,125,35,1,,missing_install_labor_family;
rock-k1050-10x34-630,ROCK-K1050-10X34-630,Wall Protection,Rockwood,EA,55,15,1,,missing_install_labor_family;
rock-k1050-12x34-630,ROCK-K1050-12X34-630,Wall Protection,Rockwood,EA,68,20,1,,missing_install_labor_family;
rock-k1050-16x34-630,ROCK-K1050-16X34-630,Wall Protection,Rockwood,EA,95,25,1,,missing_install_labor_family;
rock-k1050-34x34-630,ROCK-K1050-34X34-630,Wall Protection,Rockwood,EA,154.58,30,1,,missing_install_labor_family;
rock-k1050-6x34-630,ROCK-K1050-6X34-630,Wall Protection,Rockwood,EA,35,15,1,,missing_install_labor_family;
rock-k1050-8x34-630,ROCK-K1050-8X34-630,Wall Protection,Rockwood,EA,45,15,1,,missing_install_labor_family;
rock-pull-107x70c-630,ROCK-PULL-107X70C-630,Wall Protection,Rockwood,EA,95,25,1,,missing_install_labor_family;
rock-push-70a-4x16-630,ROCK-PUSH-70A-4X16-630,Wall Protection,Rockwood,EA,35,15,1,,missing_install_labor_family;
rockwood-k1050,ROCKWOOD-K1050,Wall Protection,Rockwood,EA,55,15,1,,missing_install_labor_family;
ronick-bm300-sf,RONICK-BM300-SF,Entrance Mats,Ronick,SF,48,7,1,,missing_install_labor_family;
sa70-001180,SA70-001180,Toilet Accessories,Bradley,EA,113.68,35,1,,missing_install_labor_family;
sa70-001240,SA70-001240,Toilet Accessories,Bradley,EA,120.61,35,1,,missing_install_labor_family;
sa70-001300,SA70-001300,Toilet Accessories,Bradley,EA,134.5,35,1,,missing_install_labor_family;
sa70-001360,SA70-001360,Toilet Accessories,Bradley,EA,147.88,35,1,,missing_install_labor_family;
sa70-001420,SA70-001420,Toilet Accessories,Bradley,EA,161.32,35,1,,missing_install_labor_family;
sa70-001480,SA70-001480,Toilet Accessories,Bradley,EA,175.5,35,1,,missing_install_labor_family;
scr-bench-hdpe-06,SCR-BENCH-HDPE-06,Lockers,Scranton Products,EA,225,45,1,,missing_install_labor_family;
scr-brkt-hdpe,SCR-BRKT-HDPE,Partitions,Scranton Products,EA,18,10,1,,missing_install_labor_family;
scr-ecl-ftc,SCR-ECL-FTC,Partitions,Scranton Products,EA,1850,240,1,,missing_install_labor_family;
scr-ecl-oh-high,SCR-ECL-OH-HIGH,Partitions,Scranton Products,EA,1650,210,1,,missing_install_labor_family;
scr-ecl-oh-std,SCR-ECL-OH-STD,Partitions,Scranton Products,EA,1450,180,1,,missing_install_labor_family;
scr-headrail-lf,SCR-HEADRAIL-LF,Partitions,Scranton Products,LF,22,8,1,,missing_install_labor_family;
scr-hh-oh,SCR-HH-OH,Partitions,Scranton Products,EA,1250,180,1,,missing_install_labor_family;
scr-hlsla,SCR-HLSLA,Partitions,Scranton Products,EA,20,15,1,,missing_install_labor_family;
scr-tuff-1t,SCR-TUFF-1T,Lockers,Scranton Products,EA,625,55,1,,missing_install_labor_family;
scr-tuff-2t,SCR-TUFF-2T,Lockers,Scranton Products,EA,695,65,1,,missing_install_labor_family;
scr-tuff-3t,SCR-TUFF-3T,Lockers,Scranton Products,EA,760,75,1,,missing_install_labor_family;
scr-tuff-ath,SCR-TUFF-ATH,Lockers,Scranton Products,EA,950,90,1,,missing_install_labor_family;
seton-76866-fe,SETON-76866-FE,Signage,Seton,EA,24.39,8,1,,missing_install_labor_family;
seton-fe-decal,SETON-FE-DECAL,Signage,Seton,EA,18,8,1,,missing_install_labor_family;
sf-hdvb-1,SF-HDVB-1,Fire Specialties,Strike First,EA,75,25,1,,missing_install_labor_family;
scr-tuff-base-4,SCR-TUFF-BASE-4,Lockers,Scranton Products,LF,38,12,1,,missing_install_labor_family;
add-field-measure,ADD-FIELD-MEASURE,Div 10 Add-Ins,Allowance,EA,0,60,1,,missing_install_labor_family;
trimco-4016-ed,TRIMCO-4016-ED,Wall Protection,Trimco,EA,11.55,15,1,,missing_install_labor_family;
trimco-4017-ed,TRIMCO-4017-ED,Wall Protection,Trimco,EA,19.95,15,1,,missing_install_labor_family;
trimco-finger-guard-ke,TRIMCO-FINGER-GUARD-KE,Wall Protection,Trimco,EA,185,45,1,,missing_install_labor_family;
trimco-k0050-10x34-630,TRIMCO-K0050-10X34-630,Wall Protection,Trimco,EA,45,15,1,,missing_install_labor_family;
trimco-k0050-8x34-630,TRIMCO-K0050-8X34-630,Wall Protection,Trimco,EA,32.93,15,1,,missing_install_labor_family;
trimco-ka050-34x34-630,TRIMCO-KA050-34X34-630,Wall Protection,Trimco,EA,153.91,30,1,,missing_install_labor_family;
trimco-ke31-1-630,TRIMCO-KE31-1-630,Wall Protection,Trimco,EA,130,30,1,,missing_install_labor_family;
trimco-ke33-1-630,TRIMCO-KE33-1-630,Wall Protection,Trimco,EA,130.99,30,1,,missing_install_labor_family;
trimco-km050-6x34-630,TRIMCO-KM050-6X34-630,Wall Protection,Trimco,EA,34.03,15,1,,missing_install_labor_family;
trimco-ks050-16x34-630,TRIMCO-KS050-16X34-630,Wall Protection,Trimco,EA,105,25,1,,missing_install_labor_family;
asi-74022,ASI-74022,Toilet Accessories,American Specialties Inc.,EA,425,75,1,,missing_install_labor_family;
sf-hdvb-3,SF-HDVB-3,Fire Specialties,Strike First,EA,125,30,1,,missing_install_labor_family;
uline-h-1667-sf,ULINE-H-1667-SF,Entrance Mats,Uline,SF,12,2,1,,missing_install_labor_family;
uline-h-2357-sf,ULINE-H-2357-SF,Entrance Mats,Uline,SF,10,2,1,,missing_install_labor_family;
uline-s-12415,ULINE-S-12415,Visual Display,Uline,ROLL,350,120,1,,missing_install_labor_family;
ultrasite-augusta-36ash,ULTRASITE-AUGUSTA-36ASH,Waste & Recycling Receptacles,UltraSite,EA,875,45,1,,missing_install_labor_family;
witt-28dt,WITT-28DT,Waste & Recycling Receptacles,Witt Industries,EA,425,20,1,,missing_install_labor_family;
witt-32gc,WITT-32GC,Waste & Recycling Receptacles,Witt Industries,EA,695,45,1,,missing_install_labor_family;
witt-36r,WITT-36R,Waste & Recycling Receptacles,Witt Industries,EA,750,45,1,,missing_install_labor_family;
witt-recycle-2stream,WITT-RECYCLE-2STREAM,Waste & Recycling Receptacles,Witt Industries,EA,850,30,1,,missing_install_labor_family;
witt-recycle-3stream,WITT-RECYCLE-3STREAM,Waste & Recycling Receptacles,Witt Industries,EA,1150,30,1,,missing_install_labor_family;
vf-35211000,VF-35211000,Flags / Flagpoles,Valley Forge,EA,45,10,1,,missing_install_labor_family;
asi-8206,ASI-8206,Toilet Accessories,American Specialties Inc.,EA,55,30,1,,missing_install_labor_family;
asi-8207,ASI-8207,Toilet Accessories,American Specialties Inc.,EA,65,30,1,,missing_install_labor_family;
asi-8208,ASI-8208,Toilet Accessories,American Specialties Inc.,EA,75,35,1,,missing_install_labor_family;
asi-9013-9,ASI-9013-9,Toilet Accessories,ASI,EA,3733.3,90,1,,missing_install_labor_family;
asi-fss,ASI-FSS,Toilet Accessories,ASI,EA,150,60,1,,missing_install_labor_family;
asi-scr-36,ASI-SCR-36,Toilet Accessories,ASI,EA,55,30,1,,missing_install_labor_family;
bob-b-211,BOB-B-211,Toilet Accessories,Bobrick,EA,28,10,1,,missing_install_labor_family;
bob-b-270,BOB-B-270,Toilet Accessories,Bobrick,EA,54,30,1,,missing_install_labor_family;
bob-b-2706,BOB-B-2706,Toilet Accessories,Bobrick,EA,120,45,1,,missing_install_labor_family;
bob-b-295x24,BOB-B-295X24,Toilet Accessories,Bobrick,EA,110,25,1,,missing_install_labor_family;
bob-b-295x36,BOB-B-295X36,Toilet Accessories,Bobrick,EA,145,30,1,,missing_install_labor_family;
bob-b-544,BOB-B-544,Toilet Accessories,Bobrick,EA,138.86,20,1,,missing_install_labor_family;
bob-b-5446,BOB-B-5446,Toilet Accessories,Bobrick,EA,150,20,1,,missing_install_labor_family;
bob-b-58616,BOB-B-58616,Toilet Accessories,Bobrick,EA,133.52,45,1,,missing_install_labor_family;
bob-b-6806x18-shower,BOB-B-6806X18-SHOWER,Toilet Accessories,Bobrick,EA,42,30,1,,missing_install_labor_family;
bob-b-6806x24-shower,BOB-B-6806X24-SHOWER,Toilet Accessories,Bobrick,EA,48,30,1,,missing_install_labor_family;
bob-b-6806x36-shower,BOB-B-6806X36-SHOWER,Toilet Accessories,Bobrick,EA,54,30,1,,missing_install_labor_family;
bob-b-6827x18,BOB-B-6827X18,Toilet Accessories,Bobrick,EA,45,20,1,,missing_install_labor_family;
add-freight-allow,ADD-FREIGHT-ALLOW,Div 10 Add-Ins,Allowance,EA,250,0,1,,missing_install_labor_family;
bob-b-6827x24,BOB-B-6827X24,Toilet Accessories,Bobrick,EA,55,20,1,,missing_install_labor_family;
bob-b-8397,BOB-B-8397,Toilet Accessories,Bobrick,EA,95,20,1,,missing_install_labor_family;
br-2a05,BR-2A05,Toilet Accessories,Bradley,EA,1418,60,1,,missing_install_labor_family;
br-2b5-110000,BR-2B5-110000,Toilet Accessories,Bradley,EA,1100,60,1,,missing_install_labor_family;
br-2b5-113400,BR-2B5-113400,Toilet Accessories,Bradley,EA,1038,60,1,,missing_install_labor_family;
br-2b5-113600,BR-2B5-113600,Toilet Accessories,Bradley,EA,1148,60,1,,missing_install_labor_family;
br-4781-11,BR-4781-11,Toilet Accessories,Bradley,EA,45,30,1,,missing_install_labor_family;
br-4b2-110000,BR-4B2-110000,Toilet Accessories,Bradley,EA,384,30,1,,missing_install_labor_family;
br-5b1-110000,BR-5B1-110000,Toilet Accessories,Bradley,EA,165,25,1,,missing_install_labor_family;
br-5b1-113600,BR-5B1-113600,Toilet Accessories,Bradley,EA,218,25,1,,missing_install_labor_family;
br-6b1-000000,BR-6B1-000000,Toilet Accessories,Bradley,EA,425,45,1,,missing_install_labor_family;
br-6b1-110000,BR-6B1-110000,Toilet Accessories,Bradley,EA,371,30,1,,missing_install_labor_family;
br-6b1-110000t,BR-6B1-110000T,Toilet Accessories,Bradley,EA,455,30,1,,missing_install_labor_family;
br-6b1-110073,BR-6B1-110073,Toilet Accessories,Bradley,EA,371,30,1,,missing_install_labor_family;
br-7b2-0051296,BR-7B2-0051296,Toilet Accessories,Bradley,EA,248,30,1,,missing_install_labor_family;
br-7b2-0052400,BR-7B2-0052400,Toilet Accessories,Bradley,EA,230,30,1,,missing_install_labor_family;
br-7b2-0082496,BR-7B2-0082496,Toilet Accessories,Bradley,EA,341,35,1,,missing_install_labor_family;
8120-001180,8120-001180,Toilet Accessories,Bradley,EA,48,30,1,,missing_install_labor_family;
8120-001240,8120-001240,Toilet Accessories,Bradley,EA,52.48,30,1,,missing_install_labor_family;
8120-001300,8120-001300,Toilet Accessories,Bradley,EA,57.37,30,1,,missing_install_labor_family;
8120-001360,8120-001360,Toilet Accessories,Bradley,EA,56.17,30,1,,missing_install_labor_family;
8120-001420,8120-001420,Toilet Accessories,Bradley,EA,64.95,30,1,,missing_install_labor_family;
8120-001480,8120-001480,Toilet Accessories,Bradley,EA,83.3,30,1,,missing_install_labor_family;
br-963,BR-963,Toilet Accessories,Bradley,EA,350,45,1,,missing_install_labor_family;
br-9b1-110000,BR-9B1-110000,Toilet Accessories,Bradley,EA,34,15,1,,missing_install_labor_family;
br-9b1-110200,BR-9B1-110200,Toilet Accessories,Bradley,EA,45,15,1,,missing_install_labor_family;
br-elx-2,BR-ELX-2,Toilet Accessories,Bradley,EA,6849.32,120,1,,missing_install_labor_family;
koala-kb300-mb,KOALA-KB300-MB,Toilet Accessories,Koala Kare / Bobrick,EA,749.9,60,1,,missing_install_labor_family;
8170-001180,8170-001180,Toilet Accessories,Bradley,EA,42,25,1,,missing_install_labor_family;
sh-seat-phen,SH-SEAT-PHEN,Toilet Accessories,Generic,EA,100,60,1,,missing_install_labor_family;
xl-sb,XL-SB,Toilet Accessories,Excel Dryer,EA,650,45,1,,missing_install_labor_family;
xl-sb-rec-kit,XL-SB-REC-KIT,Toilet Accessories,Excel Dryer,EA,950,60,1,,missing_install_labor_family;
br-3b1-000000,BR-3B1-000000,Waste & Recycling Receptacles,Bradley,EA,607,45,1,,missing_install_labor_family;
br-3b1-003400,BR-3B1-003400,Waste & Recycling Receptacles,Bradley,EA,722,45,1,,missing_install_labor_family;
br-3b1-003600,BR-3B1-003600,Waste & Recycling Receptacles,Bradley,EA,884,45,1,,missing_install_labor_family;
br-3b1-110000,BR-3B1-110000,Waste & Recycling Receptacles,Bradley,EA,707,45,1,,missing_install_labor_family;
br-3b1-113400,BR-3B1-113400,Waste & Recycling Receptacles,Bradley,EA,676,45,1,,missing_install_labor_family;
br-3b1-113600,BR-3B1-113600,Waste & Recycling Receptacles,Bradley,EA,707,45,1,,missing_install_labor_family;
global-9x5x13-ash,GLOBAL-9X5X13-ASH,Waste & Recycling Receptacles,Global Industrial,EA,95,15,1,,missing_install_labor_family;
global-ash-9x5x13,GLOBAL-ASH-9X5X13,Waste & Recycling Receptacles,Global Industrial,EA,95,15,1,,missing_install_labor_family;
global-stone-urn-24gal,GLOBAL-STONE-URN-24GAL,Waste & Recycling Receptacles,Global Industrial,EA,425,20,1,,missing_install_labor_family;
global-stone-urn-small,GLOBAL-STONE-URN-SMALL,Waste & Recycling Receptacles,Global Industrial,EA,225,15,1,,missing_install_labor_family;
justrite-scf,JUSTRITE-SCF,Waste & Recycling Receptacles,Justrite,EA,185,10,1,,missing_install_labor_family;
justrite-scf-26800,JUSTRITE-SCF-26800,Waste & Recycling Receptacles,Justrite,EA,185,10,1,,missing_install_labor_family;
justrite-scf-wall,JUSTRITE-SCF-WALL,Waste & Recycling Receptacles,Justrite,EA,145,20,1,,missing_install_labor_family;
dalite-73241,DALITE-73241,Visual Display,Da-Lite,EA,475,90,1,,missing_install_labor_family;
dalite-74653,DALITE-74653,Visual Display,Da-Lite,EA,375,75,1,,missing_install_labor_family;
dalite-85324,DALITE-85324,Visual Display,Da-Lite,EA,650,90,1,,missing_install_labor_family;
dalite-tensioned-cont,DALITE-TENSIONED-CONT,Visual Display,Da-Lite,EA,1850,180,1,,missing_install_labor_family;
ghent-champion-2040,GHENT-CHAMPION-2040,Visual Display,Ghent,EA,950,150,1,,missing_install_labor_family;
ghent-champion-wall,GHENT-CHAMPION-WALL,Visual Display,Ghent,EA,650,120,1,,missing_install_labor_family;
ghent-display-light,GHENT-DISPLAY-LIGHT,Visual Display,Ghent,EA,185,45,1,,missing_install_labor_family;
ghent-display-lock,GHENT-DISPLAY-LOCK,Visual Display,Ghent,EA,35,20,1,,missing_install_labor_family;
ghent-holdup-48,GHENT-HOLDUP-48,Visual Display,Ghent,EA,55,10,1,,missing_install_labor_family;
ghent-holdup-96,GHENT-HOLDUP-96,Visual Display,Ghent,EA,95,15,1,,missing_install_labor_family;
ghent-maprail-1in-lf,GHENT-MAPRAIL-1IN-LF,Visual Display,Ghent,LF,8.5,5,1,,missing_install_labor_family;
ghent-maprail-2in-lf,GHENT-MAPRAIL-2IN-LF,Visual Display,Ghent,LF,11.5,5,1,,missing_install_labor_family;
ghent-maprail-endstop,GHENT-MAPRAIL-ENDSTOP,Visual Display,Ghent,PAIR,15,5,1,,missing_install_labor_family;
ghent-varsity-floor,GHENT-VARSITY-FLOOR,Visual Display,Ghent,EA,950,180,1,,missing_install_labor_family;
peter-2141al,PETER-2141AL,Shelving & Storage,Peter Pepper Products,EA,55,20,1,,missing_install_labor_family;
peter-2165,PETER-2165,Shelving & Storage,Peter Pepper Products,EA,145,45,1,,missing_install_labor_family;
uline-h-6840,ULINE-H-6840,Shelving & Storage,Uline,EA,145,30,1,,missing_install_labor_family;
uline-h-10444g,ULINE-H-10444G,Shelving & Storage,Uline,EA,525,60,1,,missing_install_labor_family;
uline-h-11855,ULINE-H-11855,Shelving & Storage,Uline,EA,575,150,1,,missing_install_labor_family;
uline-h-3819z,ULINE-H-3819Z,Shelving & Storage,Uline,EA,300,45,1,,missing_install_labor_family;
uline-h-6814,ULINE-H-6814,Shelving & Storage,Uline,EA,710,55,1,,missing_install_labor_family;
uline-h-7119,ULINE-H-7119,Shelving & Storage,Uline,EA,175,45,1,,missing_install_labor_family;
mmf-201902003,MMF-201902003,Fire Specialties,MMF Industries,EA,165,30,1,,missing_install_labor_family;
c5,M-1836,Toilet Accessories,Bobrick,EA,65,20,1,,missing_install_labor_family;
c7,ND-270,Toilet Accessories,Bobrick,EA,42,15,1,,missing_install_labor_family;
c2,SD-822,Toilet Accessories,Bobrick,EA,35,25,1,,missing_install_labor_family;
c6,TD-262,Toilet Accessories,Bobrick,EA,85,20,1,,missing_install_labor_family;
bradley-6a00,Bradley-6A00,Toilet Accessories,Bradley,EA,68,20,1,,missing_install_labor_family;
ft-rec,FT-REC,Toilet Accessories,Generic,EA,55,30,1,,missing_install_labor_family;
mc-rec,MC-REC,Toilet Accessories,Generic,EA,145,45,1,,missing_install_labor_family;
purell-es8,PURELL-ES8,Toilet Accessories,Purell,EA,85,20,1,,missing_install_labor_family;
asi-us-ss,ASI-US-SS,Partitions,ASI Global Partitions,EA,525,65,1,,missing_install_labor_family;
scr-us-hdpe,SCR-US-HDPE,Partitions,Scranton Products,EA,425,60,1,,missing_install_labor_family;
aivia-100,AIVIA-100,Fire Specialties,Aivia,EA,550,45,1,,missing_install_labor_family;
amerex-b260,AMEREX-B260,Fire Specialties,Amerex,EA,265,20,1,,missing_install_labor_family;
amerex-b262,AMEREX-B262,Fire Specialties,Amerex,EA,325,20,1,,missing_install_labor_family;
amerex-b272nm,AMEREX-B272NM,Fire Specialties,Amerex,EA,275,20,1,,missing_install_labor_family;
amerex-b386t,AMEREX-B386T,Fire Specialties,Amerex,EA,145,20,1,,missing_install_labor_family;
amerex-b456,AMEREX-B456,Fire Specialties,Amerex,EA,100,20,1,,missing_install_labor_family;
amerex-b500,AMEREX-B500,Fire Specialties,Amerex,EA,75,20,1,,missing_install_labor_family;
amerex-b570,AMEREX-B570,Fire Specialties,Amerex,EA,625,25,1,,missing_install_labor_family;
fdc-sign,FDC-SIGN,Fire Specialties,Seton,EA,35,10,1,,missing_install_labor_family;
fe-decal-cabinet,FE-DECAL-CABINET,Fire Specialties,Seton,EA,18,8,1,,missing_install_labor_family;
fe-hook-wall,FE-HOOK-WALL,Fire Specialties,Allowance,EA,12,10,1,,missing_install_labor_family;
fe-sign-vinyl-12x24,FE-SIGN-VINYL-12X24,Fire Specialties,Seton,EA,24.39,8,1,,missing_install_labor_family;
fe-tag-annual,FE-TAG-ANNUAL,Fire Specialties,Allowance,EA,5,5,1,,missing_install_labor_family;
fec-break-glass,FEC-BREAK-GLASS,Fire Specialties,Allowance,EA,35,20,1,,missing_install_labor_family;
fec-glazing-acrylic,FEC-GLAZING-ACRYLIC,Fire Specialties,Allowance,EA,45,20,1,,missing_install_labor_family;
fec-trim-return,FEC-TRIM-RETURN,Fire Specialties,Allowance,EA,85,30,1,,missing_install_labor_family;
fire-blanket-cab,FIRE-BLANKET-CAB,Fire Specialties,Allowance,EA,185,30,1,,missing_install_labor_family;
fire-riser-sign,FIRE-RISER-SIGN,Fire Specialties,Office Sign Company,EA,45,10,1,,missing_install_labor_family;
