id,sku,category,manufacturer,uom,base_material_cost,base_labor_minutes,active,install_labor_family,violation_flags
bob-b-301,BOB-B-301,Toilet Accessories,Bobrick,EA,185,40,1,,missing_install_labor_family;
bob-b-309,BOB-B-309,Toilet Accessories,Bobrick,EA,325,55,1,,missing_install_labor_family;
bob-b-347,BOB-B-347,Toilet Accessories,Bobrick,EA,225,45,1,,missing_install_labor_family;
bob-b-353,BOB-B-353,Toilet Accessories,Bobrick,EA,225,45,1,,missing_install_labor_family;
bob-b-354,BOB-B-354,Toilet Accessories,Bobrick,EA,245,45,1,,missing_install_labor_family;
bob-b-35633,BOB-B-35633,Toilet Accessories,Bobrick,EA,475,60,1,,missing_install_labor_family;
asi-0264,ASI-0264,Toilet Accessories,American Specialties Inc.,EA,90,20,1,,missing_install_labor_family;
bob-b-212,BOB-B-212,Toilet Accessories,Bobrick,EA,18,10,1,,missing_install_labor_family;
bob-b-359,BOB-B-359,Toilet Accessories,Bobrick,EA,375,55,1,,missing_install_labor_family;
bob-b-369,BOB-B-369,Toilet Accessories,Bobrick,EA,425,60,1,,missing_install_labor_family;
bob-b-38032,BOB-B-38032,Toilet Accessories,Bobrick,EA,850,75,1,,missing_install_labor_family;
bob-b-3942,BOB-B-3942,Toilet Accessories,Bobrick,EA,760,75,1,,missing_install_labor_family;
bob-b-3944,BOB-B-3944,Toilet Accessories,Bobrick,EA,725,75,1,,missing_install_labor_family;
bob-b-3961,BOB-B-3961,Toilet Accessories,Bobrick,EA,1150,90,1,,missing_install_labor_family;
bob-b-4288,BOB-B-4288,Toilet Accessories,Bobrick,EA,200,30,1,,missing_install_labor_family;
bob-b-4353,BOB-B-4353,Toilet Accessories,Bobrick,EA,295,45,1,,missing_install_labor_family;
bob-b-4369,BOB-B-4369,Toilet Accessories,Bobrick,EA,650,75,1,,missing_install_labor_family;
bob-b-4388,BOB-B-4388,Toilet Accessories,Bobrick,EA,275,45,1,,missing_install_labor_family;
bob-b-47064,BOB-B-47064,Toilet Accessories,Bobrick,EA,525,60,1,,missing_install_labor_family;
bob-b224,BOB-B224,Custodial Accessories,Bobrick,EA,165,35,1,,missing_install_labor_family;
bob-b239,BOB-B239,Custodial Accessories,Bobrick,EA,385,55,1,,missing_install_labor_family;
bob-b4998,BOB-B4998,Toilet Accessories,Bobrick,EA,275,60,1,,missing_install_labor_family;
bob-b6806x36,BOB-B6806X36,Toilet Accessories,Bobrick,EA,54,30,1,,missing_install_labor_family;
bob-b6806x42,BOB-B6806X42,Toilet Accessories,Bobrick,EA,58,30,1,,missing_install_labor_family;
bob-duraline-cgl-oh,BOB-DURALINE-CGL-OH,Partitions,Bobrick,EA,1500,190,1,,missing_install_labor_family;
bob-hdw-std-ss,BOB-HDW-STD-SS,Partitions,Bobrick,SET,225,60,1,,missing_install_labor_family;
bob-hinge-barrel-ss,BOB-HINGE-BARREL-SS,Partitions,Bobrick,PAIR,65,25,1,,missing_install_labor_family;
bob-latch-keeper-ss,BOB-LATCH-KEEPER-SS,Partitions,Bobrick,SET,58,20,1,,missing_install_labor_family;
br-155,BR-155,Toilet Accessories,Bradley,EA,533,50,1,,missing_install_labor_family;
br-234,BR-234,Toilet Accessories,Bradley,EA,640,50,1,,missing_install_labor_family;
br-236,BR-236,Toilet Accessories,Bradley,EA,1054,60,1,,missing_install_labor_family;
